Time,Source IP,Destination IP,Destination Port,Protocol,Size
2026-07-11 18:45:22,20.89.1.12,192.168.100.63,52832,TCP,54
2026-07-11 18:45:22,192.168.100.12,239.255.255.250,1900,UDP,167
2026-07-11 18:45:22,110.238.107.232,192.168.100.63,52749,TCP,54
2026-07-11 18:45:23,192.168.100.63,110.238.107.232,443,TCP,54
2026-07-11 18:45:23,192.168.100.63,4.213.25.241,443,TCP,301
2026-07-11 18:45:23,192.168.100.63,192.168.100.1,53,UDP,83
2026-07-11 18:45:23,142.250.202.238,192.168.100.63,52769,TCP,54
2026-07-11 18:45:23,142.250.202.238,192.168.100.63,52771,TCP,54
2026-07-11 18:45:23,192.168.100.63,142.250.202.238,443,TCP,54
2026-07-11 18:45:23,192.168.100.63,142.250.202.238,443,TCP,54
2026-07-11 18:45:23,192.168.100.1,192.168.100.63,64274,UDP,172
2026-07-11 18:45:23,4.213.25.241,192.168.100.63,49671,TCP,232
2026-07-11 18:45:23,192.168.100.63,4.213.25.241,443,TCP,54
2026-07-11 18:45:24,192.168.100.1,239.255.255.250,1900,UDP,174
2026-07-11 18:45:25,8.211.55.206,192.168.100.63,52770,TCP,54
2026-07-11 18:45:25,192.168.100.1,239.255.255.250,1900,UDP,174
2026-07-11 18:45:25,166.108.200.175,192.168.100.63,52667,TCP,54
2026-07-11 18:45:25,192.168.100.63,8.211.55.206,443,TCP,54
2026-07-11 18:45:25,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:27,192.168.100.1,239.255.255.250,1900,UDP,175
2026-07-11 18:45:27,166.108.200.175,192.168.100.63,52624,TCP,54
2026-07-11 18:45:27,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:27,166.108.200.175,192.168.100.63,52623,TCP,54
2026-07-11 18:45:27,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:27,166.108.200.175,192.168.100.63,52673,TCP,54
2026-07-11 18:45:27,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:28,166.108.200.175,192.168.100.63,52625,TCP,54
2026-07-11 18:45:28,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:28,192.168.100.63,104.116.97.154,443,TCP,54
2026-07-11 18:45:28,192.168.100.63,72.145.35.105,443,TCP,54
2026-07-11 18:45:28,8.211.55.206,192.168.100.63,52772,TCP,54
2026-07-11 18:45:28,192.168.100.63,8.211.55.206,443,TCP,54
2026-07-11 18:45:28,104.116.97.154,192.168.100.63,52721,TCP,58
